Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Roll [deg],Pitch [deg],Yaw [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,-11.5934,-3.8900,-132.3658,0.1363,-0.0508,-0.0000,0.0035,0.9763,56.6196,-0.1301,1.6276,46.8420,-0.1336,0.6513,-9.7776,-15.4756,-17.6925,-37.4182,0.309178,-0.016771,0.029507,-0.950398,98316.16,281.06,316.64,1.1429
3,3,3,3,-13.5739,-3.6886,-130.3810,0.1384,-0.0520,-0.0000,-0.0220,0.8995,56.7045,-0.1700,1.5123,46.9247,-0.1480,0.6129,-9.7799,-15.5305,-17.8393,-37.3256,0.309232,-0.016862,0.027413,-0.950442,98295.11,281.07,318.40,1.1714
3,3,3,3,-15.8152,-3.4905,-128.1352,0.1392,-0.0527,-0.0000,-0.0478,0.8207,56.7891,-0.2104,1.3948,47.0071,-0.1626,0.5741,-9.7820,-15.5863,-17.9872,-37.2312,0.309285,-0.016960,0.025296,-0.950482,98273.50,281.09,320.21,1.2000
3,3,3,3,-18.3416,-3.2982,-125.6044,0.1389,-0.0532,-0.0000,-0.0728,0.7425,56.8732,-0.2502,1.2777,47.0893,-0.1774,0.5352,-9.7839,-15.6426,-18.1350,-37.1358,0.309337,-0.017065,0.023173,-0.950517,98251.35,281.10,322.06,1.2286
3,3,3,3,-21.1756,-3.1144,-122.7659,0.1376,-0.0534,-0.0000,-0.0991,0.6608,56.9568,-0.2914,1.1573,47.1712,-0.1923,0.4965,-9.7857,-15.6991,-18.2816,-37.0399,0.309388,-0.017177,0.021058,-0.950548,98228.63,281.11,323.96,1.2571
3,3,3,3,-24.3322,-2.9420,-119.6049,0.1353,-0.0532,-0.0000,-0.1267,0.5762,57.0401,-0.3339,1.0346,47.2528,-0.2072,0.4583,-9.7872,-15.7554,-18.4259,-36.9443,0.309437,-0.017298,0.018968,-0.950573,98205.37,281.13,325.90,1.2857
3,3,3,3,-27.8135,-2.7836,-116.1193,0.1317,-0.0527,-0.0000,-0.1553,0.4896,57.1228,-0.3774,0.9105,47.3342,-0.2221,0.4210,-9.7886,-15.8113,-18.5668,-36.8497,0.309483,-0.017427,0.016919,-0.950595,98181.54,281.14,327.89,1.3143
3,3,3,3,-31.6019,-2.6419,-112.3266,0.1271,-0.0519,-0.0000,-0.1848,0.4017,57.2051,-0.4215,0.7864,47.4153,-0.2367,0.3847,-9.7897,-15.8663,-18.7029,-36.7570,0.309528,-0.017565,0.014929,-0.950611,98157.16,281.16,329.93,1.3429
3,3,3,3,-35.6546,-2.5189,-108.2699,0.1213,-0.0507,-0.0000,-0.2148,0.3135,57.2869,-0.4659,0.6634,47.4962,-0.2511,0.3500,-9.7907,-15.9201,-18.8333,-36.6671,0.309569,-0.017712,0.013015,-0.950623,98132.22,281.18,332.01,1.3714
3,3,3,3,-39.8988,-2.4162,-104.0217,0.1144,-0.0491,-0.0000,-0.2451,0.2261,57.3787,-0.5101,0.5431,47.5873,-0.2650,0.3170,-9.7914,-15.9723,-18.9567,-36.5806,0.309608,-0.017868,0.011192,-0.950631,98106.72,281.19,334.14,1.4000
3,3,3,3,-44.2331,-2.3347,-99.6836,0.1065,-0.0472,-0.0000,-0.2753,0.1408,57.5173,-0.5538,0.4269,47.7254,-0.2785,0.2860,-9.7920,-16.0226,-19.0720,-36.4985,0.309643,-0.018034,0.009478,-0.950634,98080.65,281.21,336.32,1.4286
3,3,3,3,-48.5338,-2.2740,-95.3795,0.0975,-0.0449,-0.0000,-0.3051,0.0587,57.6618,-0.5964,0.3162,47.8694,-0.2914,0.2575,-9.7924,-16.0706,-19.1784,-36.4216,0.309675,-0.018208,0.007888,-0.950635,98054.03,281.22,338.54,1.4571
3,3,3,3,-52.6673,-2.2328,-91.2429,0.0877,-0.0423,-0.0000,-0.3340,-0.0189,57.8059,-0.6376,0.2126,48.0132,-0.3036,0.2316,-9.7927,-16.1159,-19.2747,-36.3505,0.309704,-0.018390,0.006436,-0.950633,98026.84,281.24,340.81,1.4857
3,3,3,3,-56.5055,-2.2092,-87.4018,0.0771,-0.0394,-0.0000,-0.3617,-0.0907,57.9496,-0.6768,0.1177,48.1568,-0.3150,0.2085,-9.7928,-16.1583,-19.3603,-36.2861,0.309729,-0.018581,0.005135,-0.950629,97999.09,281.26,343.13,1.5143
3,3,3,3,-59.9394,-2.2003,-83.9653,0.0658,-0.0363,-0.0000,-0.3878,-0.1554,58.0928,-0.7134,0.0331,48.2999,-0.3256,0.1885,-9.7929,-16.1976,-19.4343,-36.2289,0.309751,-0.018779,0.003996,-0.950624,97970.77,281.28,345.50,1.5429
3,3,3,3,-62.8877,-2.2031,-81.0148,0.0541,-0.0329,-0.0000,-0.4118,-0.2117,58.2355,-0.7471,-0.0400,48.4427,-0.3353,0.1717,-9.7928,-16.2334,-19.4963,-36.1795,0.309769,-0.018984,0.003028,-0.950618,97941.88,281.29,347.91,1.5714
3,3,3,3,-65.2994,-2.2147,-78.6014,0.0420,-0.0294,-0.0000,-0.4332,-0.2580,58.3778,-0.7773,-0.0997,48.5850,-0.3441,0.1583,-9.7928,-16.2656,-19.5459,-36.1382,0.309783,-0.019195,0.002238,-0.950611,97912.43,281.31,350.37,1.6000
3,3,3,3,-67.1512,-2.2323,-76.7481,0.0297,-0.0257,-0.0000,-0.4518,-0.2936,58.5194,-0.8036,-0.1454,48.7268,-0.3518,0.1482,-9.7926,-16.2940,-19.5829,-36.1053,0.309794,-0.019411,0.001629,-0.950604,97882.40,281.33,352.88,1.6286
3,3,3,3,-68.4433,-2.2538,-75.4551,0.0176,-0.0220,-0.0000,-0.4672,-0.3174,58.6605,-0.8256,-0.1758,48.8681,-0.3584,0.1416,-9.7925,-16.3186,-19.6073,-36.0809,0.309801,-0.019630,0.001203,-0.950598,97851.80,281.35,355.44,1.6571
3,3,3,3,-69.1932,-2.2776,-74.7046,0.0058,-0.0182,-0.0000,-0.4788,-0.3283,58.8013,-0.8429,-0.1900,49.0090,-0.3641,0.1383,-9.7923,-16.3393,-19.6192,-36.0649,0.309804,-0.019852,0.000956,-0.950593,97820.63,281.37,358.04,1.6857
3,3,3,3,-69.4321,-2.3027,-74.4655,-0.0056,-0.0146,-0.0000,-0.4866,-0.3260,58.9386,-0.8553,-0.1876,49.1464,-0.3687,0.1383,-9.7921,-16.3562,-19.6193,-36.0572,0.309805,-0.020074,0.000882,-0.950588,97788.88,281.39,360.69,1.7143
3,3,3,3,-69.2021,-2.3286,-74.6956,-0.0161,-0.0111,-0.0000,-0.4901,-0.3094,59.0383,-0.8624,-0.1680,49.2464,-0.3722,0.1414,-9.7919,-16.3694,-19.6080,-36.0573,0.309802,-0.020296,0.000974,-0.950584,97756.56,281.41,363.39,1.7429
3,3,3,3,-68.5540,-2.3553,-75.3443,-0.0257,-0.0077,-0.0000,-0.4894,-0.2790,59.1259,-0.8642,-0.1317,49.3341,-0.3749,0.1473,-9.7918,-16.3790,-19.5864,-36.0646,0.309796,-0.020517,0.001217,-0.950581,97723.66,281.43,366.14,1.7714
3,3,3,3,-67.5460,-2.3831,-76.3532,-0.0340,-0.0047,-0.0000,-0.4843,-0.2349,59.2129,-0.8609,-0.0792,49.4213,-0.3766,0.1556,-9.7915,-16.3854,-19.5554,-36.0784,0.309787,-0.020734,0.001597,-0.950579,97690.18,281.45,368.94,1.8000
3,3,3,3,-66.2444,-2.4123,-77.6559,-0.0410,-0.0020,-0.0000,-0.4748,-0.1772,59.2992,-0.8523,-0.0110,49.5079,-0.3775,0.1662,-9.7913,-16.3888,-19.5166,-36.0978,0.309776,-0.020946,0.002093,-0.950577,97656.13,281.47,371.78,1.8286
3,3,3,3,-64.7201,-2.4434,-79.1816,-0.0463,0.0002,-0.0000,-0.4611,-0.1075,59.3844,-0.8389,0.0710,49.5933,-0.3778,0.1784,-9.7911,-16.3897,-19.4714,-36.1217,0.309763,-0.021151,0.002684,-0.950575,97621.49,281.50,374.68,1.8571
3,3,3,3,-63.0491,-2.4765,-80.8541,-0.0499,0.0020,-0.0000,-0.4436,-0.0265,59.3326,-0.8210,0.1654,49.5418,-0.3775,0.1919,-9.7908,-16.3885,-19.4216,-36.1490,0.309748,-0.021349,0.003344,-0.950573,97586.28,281.52,377.62,1.8857
3,3,3,3,-61.3081,-2.5116,-82.5967,-0.0517,0.0032,-0.0000,-0.4225,0.0637,59.1546,-0.7992,0.2699,49.3641,-0.3767,0.2062,-9.7906,-16.3857,-19.3689,-36.1784,0.309732,-0.021539,0.004048,-0.950571,97550.49,281.54,380.61,1.9143
3,3,3,3,-59.5740,-2.5482,-84.3326,-0.0515,0.0039,-0.0000,-0.3984,0.1613,58.9730,-0.7741,0.3820,49.1827,-0.3757,0.2207,-9.7903,-16.3819,-19.3153,-36.2087,0.309716,-0.021718,0.004767,-0.950569,97514.12,281.56,383.64,1.9429
3,3,3,3,-57.9190,-2.5855,-85.9892,-0.0493,0.0040,-0.0000,-0.3719,0.2637,58.7896,-0.7465,0.4985,48.9996,-0.3746,0.2348,-9.7900,-16.3778,-19.2629,-36.2384,0.309700,-0.021888,0.005471,-0.950567,97477.78,281.57,386.73,1.9714
3,3,3,3,-56.4104,-2.6224,-87.4994,-0.0452,0.0035,-0.0000,-0.3439,0.3679,58.6040,-0.7174,0.6160,48.8143,-0.3735,0.2481,-9.7897,-16.3738,-19.2138,-36.2662,0.309685,-0.022046,0.006132,-0.950564,97441.25,281.55,389.87,2.0000
3,3,3,3,-55.1061,-2.6574,-88.8050,-0.0393,0.0024,-0.0000,-0.3151,0.4713,58.4156,-0.6877,0.7312,48.6262,-0.3727,0.2599,-9.7894,-16.3707,-19.1698,-36.2908,0.309671,-0.022193,0.006721,-0.950561,97404.16,281.54,393.05,2.0286
3,3,3,3,-54.0573,-2.6890,-89.8550,-0.0316,0.0007,-0.0000,-0.2865,0.5704,58.2190,-0.6587,0.8403,48.4299,-0.3722,0.2699,-9.7891,-16.3690,-19.1329,-36.3109,0.309660,-0.022328,0.007211,-0.950558,97366.52,281.53,396.28,2.0571
3,3,3,3,-53.3066,-2.7157,-90.6065,-0.0224,-0.0015,-0.0000,-0.2590,0.6624,58.0197,-0.6313,0.9399,48.2308,-0.3723,0.2774,-9.7889,-16.3693,-19.1048,-36.3255,0.309651,-0.022452,0.007578,-0.950555,97328.33,281.51,399.55,2.0857
3,3,3,3,-52.8903,-2.7363,-91.0233,-0.0119,-0.0042,0.0000,-0.2337,0.7439,57.8189,-0.6068,1.0262,48.0302,-0.3731,0.2823,-9.7887,-16.3721,-19.0868,-36.3336,0.309646,-0.022566,0.007800,-0.950552,97289.59,281.50,402.88,2.1143
3,3,3,3,-52.8378,-2.7498,-91.0759,-0.0004,-0.0072,0.0000,-0.2115,0.8121,57.6166,-0.5862,1.0961,47.8280,-0.3747,0.2840,-9.7886,-16.3780,-19.0804,-36.3343,0.309644,-0.022671,0.007859,-0.950550,97250.30,281.49,406.25,2.1429
3,3,3,3,-53.1735,-2.7559,-90.7398,0.0117,-0.0106,0.0000,-0.1934,0.8640,57.4128,-0.5706,1.1464,47.6242,-0.3772,0.2824,-9.7886,-16.3872,-19.0862,-36.3270,0.309647,-0.022767,0.007743,-0.950547,97210.46,281.47,409.67,2.1714
3,3,3,3,-53.9159,-2.7548,-89.9966,0.0242,-0.0142,0.0000,-0.1803,0.8974,57.2075,-0.5609,1.1748,47.4189,-0.3806,0.2774,-9.7886,-16.4001,-19.1048,-36.3113,0.309654,-0.022856,0.007444,-0.950545,97170.08,281.46,413.13,2.2000
3,3,3,3,-55.0768,-2.7473,-88.8343,0.0365,-0.0179,0.0000,-0.1727,0.9106,57.0007,-0.5578,1.1796,47.2121,-0.3851,0.2689,-9.7886,-16.4167,-19.1363,-36.2871,0.309666,-0.022940,0.006960,-0.950543,97129.16,281.44,416.64,2.2286
3,3,3,3,-56.6598,-2.7350,-87.2495,0.0484,-0.0216,0.0000,-0.1713,0.9025,56.7925,-0.5620,1.1595,47.0038,-0.3907,0.2570,-9.7887,-16.4372,-19.1803,-36.2545,0.309682,-0.023020,0.006295,-0.950541,97087.69,281.43,420.20,2.2571
3,3,3,3,-58.6568,-2.7201,-85.2502,0.0594,-0.0251,0.0000,-0.1765,0.8724,56.5828,-0.5737,1.1143,46.7940,-0.3972,0.2419,-9.7888,-16.4613,-19.2362,-36.2138,0.309701,-0.023098,0.005459,-0.950538,97045.69,281.42,423.80,2.2857
